"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,18.5,22.9,0,,,SE,28,11:09,20.6,56,8,SE,13,1023.3,21.4,55,8,ESE,19,1021.5
,2021-01-2,13.7,21.7,0,,,NE,37,22:38,18.1,76,8,W,6,1017.4,20.9,62,8,NE,15,1014.3
,2021-01-3,17.2,22.4,27.8,,,NNE,39,12:40,18.3,97,8, ,Calm,1010.0,21.1,92,8,NNE,26,1007.3
,2021-01-4,17.1,23.9,2.0,,,SSE,35,14:04,21.8,90,,E,6,1005.4,22.0,89,7,SSE,22,1005.0
,2021-01-5,17.2,24.1,15.4,,,SSE,41,18:14,21.1,75,8,SW,4,1008.7,21.9,76,8,E,13,1007.1
,2021-01-6,14.2,21.8,1.0,,,S,43,14:11,21.0,67,2,S,20,1015.7,21.0,63,8,SSE,28,1016.9
,2021-01-7,15.6,23.0,0.2,,,SSE,50,12:24,19.2,64,8,SW,19,1022.6,22.1,51,,SSE,31,1022.9
,2021-01-8,16.0,22.8,0.2,,,S,31,11:25,17.6,67,8,SW,17,1025.6,20.0,65,8, ,Calm,1024.6
,2021-01-9,16.4,24.2,0,,,NE,33,14:34,20.5,65,8, ,Calm,1023.4,24.1,59,,NE,22,1020.8
,2021-01-10,12.6,25.9,0,,,NE,31,16:21,20.9,71,,E,7,1019.8,25.1,66,,ENE,22,1017.8
,2021-01-11,13.5,26.3,0,,,NNE,44,14:42,23.1,63,,N,9,1016.7,25.4,68,,NNE,30,1013.6
,2021-01-12,16.8,27.6,0,,,S,35,14:25,22.6,71,,NE,9,1012.3,23.9,66,7,SSE,20,1013.3
,2021-01-13,16.3,27.1,0,,,NNE,57,15:51,24.3,66,,NNE,17,1015.9,26.4,64,,NNE,33,1012.1
,2021-01-14,19.6,25.8,0,,,S,63,10:25,24.5,71,,NE,4,1007.7,21.2,73,8,SSE,26,1009.6
,2021-01-15,15.0,24.6,0,,,SSE,59,19:30,21.1,59,4,NNW,4,1007.9,23.6,68,,NE,20,1001.8
,2021-01-16,10.0,26.3,8.2,,,W,39,08:09,17.8,35,,W,13,1008.7,22.4,49,,ENE,26,1006.9
,2021-01-17,10.9,22.4,0,,,SE,31,09:48,19.0,54,,S,13,1014.2,21.8,46,,ESE,15,1014.1
,2021-01-18,11.3,25.0,0,,,SE,28,19:49,19.9,60,,SW,7,1014.8,24.2,56,,E,17,1010.8
,2021-01-19,17.2,24.0,0,,,SSE,43,09:02,20.3,46,,S,22,1017.6,21.4,48,6,SE,26,1019.1
,2021-01-20,14.0,22.9,0,,,SSW,26,23:19,18.9,49,,SW,13,1024.6,22.2,47,,ENE,17,1021.9
,2021-01-21,13.9,25.6,0,,,NE,46,14:11,21.6,54,,NNW,13,1018.9,25.0,55,,NE,33,1013.5
,2021-01-22,14.5,30.0,0,,,S,43,17:31,23.9,62,,N,9,1008.3,27.7,63,7,NE,15,1004.7
,2021-01-23,16.1,27.1,0,,,E,22,10:25,24.8,51,,NE,4,1012.3,25.8,62,4,E,17,1011.6
,2021-01-24,20.1,29.0,0,,,ESE,22,13:48,25.2,73,,ESE,6,1010.8,27.7,74,,SE,17,1008.3
,2021-01-25,20.6,32.6,0,,,NNE,46,12:38,27.0,72,,NNE,15,1006.7,29.0,59,,NNE,31,1001.9
,2021-01-26,20.0,34.7,0,,,S,59,17:02,32.5,27,,NW,20,998.7,25.6,63,8,ENE,9,998.7
,2021-01-27,17.5,22.1,11.8,,,S,39,09:11,18.6,77,7,S,20,1014.5,21.5,58,8,SW,15,1016.9
,2021-01-28,16.5,20.1,8.4,,,ESE,30,23:06,16.9,94,8,WSW,13,1023.4,18.9,77,8,WNW,6,1023.2
,2021-01-29,16.4,20.4,9.4,,,ENE,50,08:23,19.5,89,6,ENE,31,1019.2,19.7,94,8,N,9,1016.3
,2021-01-30,18.3,27.5,28.8,,,S,43,17:11,20.3,96,8, ,Calm,1010.3,25.4,75,,NNE,28,1007.1
,2021-01-31,17.4,21.7,1.2,,,SSE,22,10:50,17.8,94,,SW,11,1017.7,20.8,70,,SSE,11,1017.9
