"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,10.6,20.6,4.0,,,W,33,01:59,18.4,69,,NNW,7,1006.5,16.3,90,8,ESE,19,1002.4
,2021-10-2,8.6,19.3,3.6,,,SE,26,10:23,18.1,70,8,SSE,9,1004.1,17.8,73,8,ENE,11,1001.9
,2021-10-3,8.3,20.7,2.0,,,ENE,26,11:38,14.8,90,,SSW,4,1003.6,19.8,67,,NE,19,999.4
,2021-10-4,13.0,27.8,0,,,WNW,48,16:12,18.3,68,7,SW,7,999.0,26.9,26,1,NNW,20,994.9
,2021-10-5,7.7,22.9,0,,,W,41,11:57,16.4,42,5,NW,13,1004.8,22.7,27,7,WSW,24,1004.5
,2021-10-6,5.1,19.7,0,,,ENE,28,12:05,15.3,53,,N,6,1014.5,19.2,46,,ENE,20,1011.2
,2021-10-7,9.5,26.2,0,,,SSE,65,10:44,19.6,41,,N,17,1005.2,16.9,49,,SSE,31,1009.2
,2021-10-8,9.8,19.5,0,,,NE,46,15:35,16.0,58,3,N,11,1019.0,18.8,63,,NE,26,1015.6
,2021-10-9,8.5,21.3,0,,,NE,24,14:56,16.1,60,,SSW,6,1015.6,20.4,51,,NE,15,1012.2
,2021-10-10,9.4,17.4,0,,,S,41,06:17,16.2,71,8,S,19,1011.4,15.0,74,8,SSE,26,1009.8
,2021-10-11,7.8,17.1,4.2,,,S,41,09:18,12.9,53,,SW,20,1017.3,16.9,43,,SE,19,1017.3
,2021-10-12,9.8,15.9,2.0,,,SW,28,23:48,13.5,74,8,SSW,13,1020.4,14.1,81,8,ESE,7,1018.4
,2021-10-13,11.3,17.3,3.2,,,NNE,52,20:47,12.7,93,8,W,7,1018.1,15.5,76,8,N,9,1014.1
,2021-10-14,12.7,21.8,12.8,,,NNE,30,11:15,14.6,90,6,NW,9,1008.1,18.3,80,8,NE,11,1003.8
,2021-10-15,11.0,19.1,8.0,,,WNW,28,07:39,12.7,77,8,NNW,13,1002.2,16.5,62,8,SSW,11,997.7
,2021-10-16,7.3,22.5,4.0,,,WSW,48,15:38,16.0,51,,NW,17,999.1,20.7,40,5,SSW,20,1000.6
,2021-10-17,6.5,18.7,0.2,,,ENE,28,12:38,14.0,54,,SW,6,1014.0,17.9,49,,ENE,20,1012.7
,2021-10-18,5.8,21.3,0,,,WSW,30,20:12,15.3,65,,SSW,9,1015.2,20.5,47,,ENE,15,1012.6
,2021-10-19,11.2,15.9,4.4,,,S,37,03:19,12.1,86,8,WSW,15,1018.0,14.5,67,8,SSW,20,1018.4
,2021-10-20,11.3,,17.8,,,,,,15.8,89,8,SSE,22,1020.6,17.2,86,8,S,17,1019.3
