"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,14.5,35.6,0,,,S,67,16:24,20.9,80,,N,7,1008.6,33.6,25,,NNW,13,1002.3
,2021-03-2,15.8,21.9,0,,,SSE,44,11:08,16.5,47,,SSW,20,1012.2,21.2,39,,SSE,22,1012.4
,2021-03-3,12.0,21.4,0,,,SSW,33,03:05,16.4,50,,WNW,9,1017.1,20.9,40,,E,17,1015.4
,2021-03-4,10.7,25.0,0,,,ENE,26,12:32,17.9,66,,N,9,1013.5,24.2,53,,ENE,20,1008.5
,2021-03-5,13.1,22.7,0,,,S,46,08:47,19.0,47,,S,24,1008.8,20.9,46,,SSE,24,1009.2
,2021-03-6,12.0,22.6,0,,,ESE,30,12:35,17.3,49,,W,13,1013.6,21.2,44,1,SE,19,1013.0
,2021-03-7,15.4,24.0,0.6,,,NE,41,14:41,18.1,78,2,WNW,2,1014.9,22.8,59,,NE,28,1011.0
,2021-03-8,13.8,25.2,0,,,S,24,15:49,17.2,95,7,SSW,4,1010.2,23.6,79,8,NNE,9,1006.9
,2021-03-9,14.9,24.2,2.4,,,SSE,30,12:35,18.2,95,8,SW,7,1012.5,22.4,63,,SE,20,1013.4
,2021-03-10,16.7,21.3,5.6,,,E,20,16:01,17.1,94,8,W,7,1021.6,20.5,64,8,ENE,11,1020.9
,2021-03-11,14.5,26.0,0.4,,,NNE,48,15:00,19.0,91,,NW,6,1021.0,26.0,66,,NNE,30,1017.8
,2021-03-12,18.8,24.0,19.8,,,NNE,39,13:35,19.4,95,8,WNW,9,1018.3,21.6,87,8,NNE,26,1015.8
,2021-03-13,17.1,29.2,7.2,,,S,59,21:02,21.2,93,, ,Calm,1012.5,26.7,72,,NE,26,1007.2
,2021-03-14,13.4,17.9,24.4,,,S,57,04:34,13.6,91,8,SW,17,1016.7,16.2,70,8,SSW,13,1018.1
,2021-03-15,8.0,20.1,4.4,,,E,20,11:23,13.3,71,,W,11,1023.6,19.4,45,,E,13,1021.8
,2021-03-16,11.2,21.1,0.2,,,SSE,30,11:09,15.6,76,8,W,9,1026.4,18.7,87,8,SE,19,1026.0
,2021-03-17,14.8,21.3,1.4,,,SE,41,11:23,15.8,88,8, ,Calm,1028.2,17.9,90,8,S,15,1027.0
,2021-03-18,15.8,23.9,11.4,,,E,43,06:55,21.1,75,8,ESE,22,1026.8,23.0,67,8,E,26,1026.0
,2021-03-19,17.0,22.7,10.2,,,ENE,43,09:29,17.8,94,,WSW,9,1028.5,21.7,76,5,ESE,24,1027.9
,2021-03-20,17.6,22.1,13.0,,,SE,50,09:48,20.9,73,8,SE,31,1027.9,19.7,94,8,ESE,28,1025.1
,2021-03-21,18.7,22.3,28.0,,,ENE,63,01:31,21.6,76,8,ENE,26,1026.5,22.0,78,8,S,2,1025.3
,2021-03-22,17.9,20.0,47.0,,,NE,43,06:34,19.4,89,8,NE,26,1024.1,19.5,88,8,NE,6,1020.5
,2021-03-23,17.4,22.3,33.8,,,NE,65,10:40,19.1,96,8,NE,26,1009.8,19.6,95,8,NNE,24,1001.7
,2021-03-24,15.8,29.3,57.8,,,NW,41,14:27,22.3,68,,NE,9,994.8,28.2,37,2,NW,19,994.0
,2021-03-25,15.1,25.7,0,,,SSE,48,17:20,19.8,75,8,NW,7,1001.5,19.5,86,7,NE,22,1001.1
,2021-03-26,12.7,21.0,5.6,,,ESE,20,12:05,15.8,85,,SW,7,1013.6,20.2,62,,ESE,15,1011.4
,2021-03-27,11.8,24.8,0,,,W,35,17:23,16.7,83,,NNE,4,1012.3,22.2,56,7,NNE,13,1009.5
,2021-03-28,12.5,22.2,0.2,,,ENE,26,13:30,15.5,88,4,NW,6,1017.4,21.5,61,1,ENE,20,1015.8
,2021-03-29,12.5,22.7,0,,,SSE,37,16:46,15.6,86,,SW,11,1020.3,21.8,53,1,ESE,17,1019.5
,2021-03-30,9.6,21.1,0,,,S,26,09:47,14.5,70,1,WSW,9,1025.0,20.6,45,,SE,13,1023.4
,2021-03-31,9.9,22.1,0,,,WSW,24,09:44,14.5,76,,WSW,13,1025.7,21.2,55,,ESE,13,1023.6
