"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,17.6,25.2,0.2,,,NNE,41,13:59,21.1,81,,NNW,9,1016.1,24.0,72,,NNE,30,1010.0
,2021-02-2,14.8,26.3,33.8,,,SSE,46,16:39,19.0,79,,SSW,13,1010.9,23.7,50,4,SE,24,1010.3
,2021-02-3,15.9,24.3,0,,,S,37,23:40,20.1,53,,SW,19,1013.7,23.1,53,,ESE,17,1010.8
,2021-02-4,16.5,26.5,0,,,NNE,48,16:14,22.8,64,5,NE,13,1011.6,25.7,64,,NE,30,1008.5
,2021-02-5,20.4,26.9,0,,,NNE,57,14:03,24.0,72,8,NE,17,1010.4,26.1,72,3,NNE,37,1006.8
,2021-02-6,21.2,31.4,0.8,,,NE,50,14:33,22.1,86,7,N,17,1001.0,25.4,74,,NNE,33,998.1
,2021-02-7,15.2,23.9,0,,,S,33,21:33,21.9,73,,SW,9,1006.4,23.0,60,,ESE,15,1007.7
,2021-02-8,16.9,22.0,0,,,SSE,33,23:32,18.7,62,,S,6,1015.1,21.3,61,7,SE,17,1014.0
,2021-02-9,13.9,23.1,0,,,ESE,31,18:02,20.4,53,,S,20,1018.2,21.9,57,,SE,20,1017.2
,2021-02-10,15.1,21.1,4.6,,,ENE,26,15:39,17.0,88,8,W,9,1018.5,19.8,70,7,NE,15,1015.9
,2021-02-11,15.7,24.8,0,,,NNE,37,15:36,20.5,67,1,N,11,1014.3,24.0,65,,NE,24,1010.6
,2021-02-12,17.1,23.7,0,,,S,31,22:23,19.6,89,7,WNW,4,1005.7,22.9,78,8,NNE,15,1003.5
,2021-02-13,18.1,20.9,0.6,,,S,39,23:27,19.1,75,8,SSW,11,1009.3,20.2,67,8,SE,17,1011.5
,2021-02-14,12.4,23.2,0,,,SE,33,13:53,18.2,74,8,SW,7,1017.8,21.6,69,7,SE,24,1017.2
,2021-02-15,17.0,24.0,0.6,,,S,50,15:08,18.9,68,8,SSW,17,1021.6,22.3,57,8,SSE,26,1021.8
,2021-02-16,16.2,23.3,1.4,,,SW,30,03:29,17.9,93,8,SW,13,1024.3,22.5,72,8,ESE,17,1023.7
,2021-02-17,16.6,23.8,2.8,,,E,28,09:42,19.0,86,5,WSW,7,1025.8,23.0,59,1,E,19,1025.9
,2021-02-18,15.8,24.6,0.2,,,ENE,37,17:04,19.9,81,7,WSW,7,1026.8,23.9,60,5,E,17,1025.0
,2021-02-19,16.7,25.0,1.2,,,NNE,33,16:37,19.2,92,8,NW,6,1022.8,22.9,78,8,E,13,1018.8
,2021-02-20,16.0,26.1,0.4,,,NE,39,13:24,22.7,73,,N,9,1015.6,25.6,70,,NE,24,1012.3
,2021-02-21,16.7,25.7,0,,,NE,26,11:42,22.3,88,,ENE,2,1011.4,24.9,77,,NE,20,1008.4
,2021-02-22,19.0,20.0,0,,,S,39,06:22,19.9,85,8,S,22,1008.1,19.7,76,8,SSE,26,1008.1
,2021-02-23,16.5,22.0,0,,,SSE,46,15:29,17.8,48,7,SSW,28,1013.8,21.0,49,7,SSE,22,1015.1
,2021-02-24,13.6,20.1,0,,,SSW,24,10:19,16.3,57,8,W,9,1020.4,18.4,73,6,SW,13,1018.5
,2021-02-25,13.6,27.7,2.6,,,NNE,37,15:15,18.4,89,1,WSW,6,1011.3,23.8,77,2,ENE,19,1006.5
,2021-02-26,18.4,20.6,0.2,,,SE,28,10:33,18.8,73,8,SSE,9,1010.6,19.7,57,8,SSE,15,1011.1
,2021-02-27,16.7,22.8,0,,,E,20,13:33,18.4,76,8,SW,6,1014.4,22.0,64,3,E,17,1012.1
,2021-02-28,16.3,24.0,0,,,ESE,24,12:26,20.4,75,,WSW,9,1013.2,23.5,66,,ESE,17,1011.1
