"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,11.6,18.7,1.2,,,ESE,30,10:43,16.6,68,,ESE,13,1013.8,17.4,56,4,E,17,1015.4
,2020-10-2,4.8,22.2,0,,,NE,35,14:30,17.3,56,,NE,7,1022.1,20.7,54,,NE,22,1019.9
,2020-10-3,7.4,33.1,0,,,N,44,12:11,22.1,46,,ENE,7,1023.1,28.0,22,,NNE,17,1018.5
,2020-10-4,10.7,32.3,0,,,NNE,41,16:05,22.8,45,,NNW,7,1018.1,22.5,58,,NE,26,1013.7
,2020-10-5,13.8,32.2,0,,,S,57,15:30,27.3,28,,WNW,17,1013.4,29.8,25,4,NNW,22,1012.5
,2020-10-6,13.1,15.7,5.6,,,SSW,13,23:39,13.7,92,8,SSW,6,1023.3,15.0,90,8,SSE,11,1021.8
,2020-10-7,13.6,17.5,7.4,,,NE,13,15:43,15.6,95,8, ,Calm,1021.3,16.4,95,8,E,9,1018.5
,2020-10-8,15.1,25.8,18.0,,,NW,52,14:13,17.1,96,8,N,15,1008.5,24.8,34,,WNW,24,1004.7
,2020-10-9,10.7,25.4,0,,,WNW,41,15:36,17.6,49,,WNW,15,1010.9,24.2,27,8,WNW,15,1009.7
,2020-10-10,6.3,21.0,0,,,ENE,35,14:39,15.2,69,,SE,2,1017.5,19.1,51,6,NE,19,1014.3
,2020-10-11,8.8,19.6,0,,,SSE,31,11:24,15.6,79,5,SW,9,1021.3,16.6,66,8,SE,15,1021.0
,2020-10-12,13.2,19.9,1.0,,,NE,30,11:41,15.3,87,6,WNW,6,1025.0,19.2,76,,NE,20,1020.9
,2020-10-13,9.3,23.5,0.2,,,S,46,17:34,17.4,68,,WNW,4,1020.8,19.2,73,8,SSE,19,1022.8
,2020-10-14,13.1,18.8,0.4,,,NE,24,17:34,13.7,94,8,WSW,9,1028.6,16.8,78,8,ENE,13,1025.4
,2020-10-15,12.0,31.4,1.2,,,NE,41,13:00,18.7,69,,NNE,15,1017.9,21.1,70,,NE,30,1010.4
,2020-10-16,13.6,17.0,4.6,,,SSE,41,05:15,13.8,84,8,SSW,11,1020.7,16.3,56,8,SE,17,1020.3
,2020-10-17,12.4,22.9,2.0,,,SSE,39,19:54,14.4,87,8,N,7,1013.2,21.3,69,6,NNE,26,1006.5
,2020-10-18,14.3,19.7,5.8,,,SSE,24,19:26,15.7,82,8,SE,15,1011.1,18.8,64,8,ESE,17,1011.4
,2020-10-19,12.4,17.6,0.2,,,SSE,24,00:11,14.2,59,8,SSW,7,1018.3,16.8,52,,E,15,1017.5
,2020-10-20,13.0,20.0,0,,,NE,33,14:11,16.3,68,8,SSW,9,1020.0,19.2,65,,NE,22,1017.0
,2020-10-21,10.6,21.8,0,,,NNE,44,15:36,19.4,64,,NNE,13,1015.8,21.4,69,4,NNE,30,1011.9
,2020-10-22,16.1,20.0,0,,,SW,33,00:24,16.7,80,8,SSW,15,1016.3,18.1,78,8,SE,17,1013.9
,2020-10-23,13.0,24.2,0,,,NE,44,13:28,17.7,85,,NNW,13,1012.6,23.6,61,,NNE,31,1007.2
,2020-10-24,17.2,24.4,0.6,,,S,46,17:20,20.8,78,,NE,11,1002.2,19.8,82,8,NE,19,999.7
,2020-10-25,10.6,15.6,11.0,,,SE,41,20:25,10.9,80,7,WSW,17,1015.5,13.5,76,8,SSW,19,1016.8
,2020-10-26,10.4,16.8,11.8,,,SSE,46,11:56,11.4,81,8,SSW,20,1023.4,15.9,57,8,SSE,28,1022.0
,2020-10-27,10.6,18.1,14.4,,,SW,33,01:41,12.1,92,8,SW,15,1023.5,17.1,69,8,S,19,1020.5
,2020-10-28,12.0,19.2,4.8,,,SE,26,09:25,15.7,79,8,SW,15,1020.6,18.3,68,,ESE,17,1017.1
,2020-10-29,13.3,20.2,0,,,SE,28,09:28,16.8,76,6,SW,9,1014.3,19.1,73,7,SE,17,1011.0
,2020-10-30,11.9,20.8,0.6,,,E,30,22:57,16.4,90,4,W,7,1011.2,20.1,67,6,ESE,17,1010.3
,2020-10-31,16.3,18.0,8.6,,,ESE,52,12:12,17.0,92,8,ESE,28,1010.5,16.9,84,8,ENE,22,1009.9
