"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,9.0,22.1,0,,,NE,31,14:40,16.2,88,, ,Calm,1030.0,21.2,73,,NE,20,1026.9
,2021-05-2,10.6,22.7,0,,,NNE,31,15:34,16.2,93,,ENE,2,1027.2,22.0,65,,NNE,24,1022.9
,2021-05-3,9.2,22.9,0.2,,,SW,44,20:13,16.7,83,,W,4,1020.5,22.1,68,2,E,9,1016.6
,2021-05-4,13.4,16.0,8.4,,,SW,33,21:00,14.2,93,7,WSW,9,1017.2,15.0,93,8,SSW,9,1016.4
,2021-05-5,14.1,20.2,38.0,,,SSE,59,10:57,16.0,96,8,SSW,20,1018.3,16.7,92,7,SW,20,1016.9
,2021-05-6,15.8,20.3,67.8,,,ESE,43,13:36,20.0,79,8,SSE,20,1019.1,19.1,91,8,ESE,20,1016.9
,2021-05-7,17.1,19.9,26.4,,,SW,33,08:34,17.1,96,7,SW,17,1014.1,19.6,86,8,SW,9,1011.2
,2021-05-8,10.9,22.3,11.8,,,WSW,19,08:56,15.8,92,,SW,15,1012.0,20.1,84,3,ENE,7,1011.6
,2021-05-9,12.8,21.0,0,,,NE,26,14:33,16.0,82,5,SW,9,1019.4,20.1,74,,NE,17,1015.8
,2021-05-10,9.2,24.2,0,,,NW,28,12:54,16.1,86,, ,Calm,1013.2,21.3,50,8,NNW,9,1009.4
,2021-05-11,13.3,19.8,3.0,,,S,41,14:41,15.3,89,,WSW,7,1014.4,16.1,81,4,SSE,26,1015.5
,2021-05-12,11.4,20.9,0.2,,,W,20,01:15,16.7,72,,SW,7,1021.1,19.5,72,8,SE,13,1018.8
,2021-05-13,9.8,20.1,0.2,,,W,19,06:57,13.8,80,,SW,7,1013.6,19.1,60,7,E,9,1008.4
,2021-05-14,7.2,20.4,0,,,W,28,15:03,12.2,73,,WSW,6,1011.2,19.2,32,4,W,17,1009.7
,2021-05-15,7.3,18.1,0,,,SW,57,12:35,14.5,47,,NW,13,1008.8,14.2,39,8,SW,28,1011.3
,2021-05-16,4.3,16.3,0,,,W,24,22:30,10.6,53,,WSW,9,1020.8,16.3,41,,NE,15,1016.7
,2021-05-17,7.3,18.5,0,,,WSW,33,10:47,13.8,58,,WSW,9,1021.7,18.0,32,,SW,13,1022.0
,2021-05-18,3.8,16.8,0,,,ENE,19,12:40,9.5,78,,SW,9,1029.1,16.6,55,,ENE,11,1026.0
,2021-05-19,4.2,17.0,0,,,SE,15,12:08,10.4,73,,W,7,1028.2,16.2,59,,E,9,1025.3
,2021-05-20,2.7,20.0,0,,,SW,19,23:44,11.3,61,3,W,11,1026.0,18.9,46,7,ENE,9,1024.9
,2021-05-21,5.9,17.7,0,,,SSW,24,10:33,11.3,78,,SW,9,1032.2,16.8,51,,SSE,11,1029.2
,2021-05-22,6.3,18.6,0.2,,,NNE,22,16:03,12.1,73,,WSW,6,1028.1,18.5,58,,NE,15,1024.5
,2021-05-23,6.6,19.0,0,,,ESE,20,12:55,11.0,81,6,WSW,7,1028.1,16.5,77,8,ESE,13,1027.5
,2021-05-24,10.6,19.9,0.6,,,N,24,16:02,15.1,85,1,SW,6,1031.0,18.6,73,7,NNE,13,1028.1
,2021-05-25,8.3,22.9,0.2,,,NNE,39,15:16,13.2,96,,NW,7,1023.9,20.8,60,,NNE,26,1016.3
,2021-05-26,13.2,21.0,0,,,N,37,00:49,17.1,43,,NNW,11,1014.1,20.5,26,,W,20,1013.2
,2021-05-27,2.9,19.7,0,,,WSW,20,23:44,12.4,57,,WSW,4,1022.5,18.0,42,,ENE,13,1019.9
,2021-05-28,4.1,15.7,0,,,SW,54,11:46,13.5,43,7,SW,15,1025.2,14.7,43,1,SSW,19,1026.0
,2021-05-29,7.7,15.9,0,,,SSW,46,11:52,11.3,49,,SW,22,1030.4,15.2,40,,S,22,1028.3
,2021-05-30,8.7,16.0,0,,,WSW,35,09:12,12.0,59,7,WSW,17,1029.8,15.2,48,1,S,15,1027.4
,2021-05-31,2.8,16.0,0,,,ENE,19,14:51,7.5,77,,SW,9,1025.9,15.5,60,,NE,15,1022.7
