"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,14.6,26.1,0,,,SSE,65,21:21,22.3,57,,NNE,20,1009.4,24.5,66,,NNE,37,1002.8
,2020-12-2,17.3,19.6,0,,,S,46,23:09,18.1,72,8,NNE,13,1018.8,19.4,53,8,E,13,1020.6
,2020-12-3,14.9,23.2,0,,,NE,44,14:46,18.0,67,8,NNW,11,1022.6,21.7,73,,NE,30,1016.7
,2020-12-4,13.8,25.7,0,,,SSE,52,14:51,21.5,70,,ENE,13,1013.8,24.0,68,,E,15,1009.6
,2020-12-5,15.0,28.4,0,,,NNW,57,19:30,20.6,60,1,N,22,1011.2,22.4,71,8,NE,20,1001.4
,2020-12-6,19.3,25.9,1.0,,,W,35,18:18,23.0,34,,NW,13,998.3,23.0,61,,E,19,999.2
,2020-12-7,10.9,28.7,0.2,,,SSE,54,14:12,23.3,27,3,W,20,1002.1,25.8,30,1,SE,20,1000.5
,2020-12-8,9.2,22.2,3.0,,,S,43,10:34,17.6,44,,SSW,20,1012.8,19.3,48,,SSE,28,1013.0
,2020-12-9,11.3,22.9,0,,,ENE,31,12:52,19.7,46,,N,9,1018.8,22.2,56,,NE,22,1016.2
,2020-12-10,11.8,20.8,0,,,SSE,52,17:04,18.5,71,8,S,17,1020.0,19.2,67,8,SSE,30,1021.7
,2020-12-11,12.5,20.9,0.2,,,S,31,00:10,16.3,51,8,SW,15,1031.0,20.0,47,6,SE,19,1029.8
,2020-12-12,11.2,21.7,0,,,E,26,09:48,19.0,52,8,ESE,15,1032.3,20.6,53,8,ESE,17,1030.0
,2020-12-13,14.3,23.3,7.0,,,NE,31,14:48,17.6,86,8,NW,6,1027.2,22.2,68,7,ENE,19,1024.0
,2020-12-14,15.3,25.2,0.8,,,NE,39,14:24,21.9,67,1,ESE,9,1021.5,24.3,65,1,NE,20,1019.2
,2020-12-15,17.3,25.1,0,,,NE,39,15:11,22.3,67,6,N,11,1017.1,24.9,75,6,NE,22,1014.0
,2020-12-16,20.7,24.0,79.0,,,S,31,15:09,21.1,96,8,WSW,6,1013.2,22.7,92,8,SSE,19,1009.7
,2020-12-17,19.5,26.8,52.6,,,NE,31,12:25,21.1,94,8,NE,7,1005.5,24.1,81,5,NE,19,1002.6
,2020-12-18,19.9,24.8,0.6,,,S,39,19:43,23.5,84,8,S,15,1004.3,21.4,76,8,SE,17,1008.1
,2020-12-19,16.0,19.7,0.2,,,SSW,24,08:45,17.4,58,8,S,13,1018.3,18.7,63,8,E,11,1017.6
,2020-12-20,15.4,24.3,1.2,,,ESE,28,12:13,19.2,79,8,SW,6,1014.2,22.4,69,8,SSE,19,1012.0
,2020-12-21,16.1,23.0,1.8,,,NNE,31,17:43,19.5,81,8,WSW,7,1012.8,22.0,75,8,NE,17,1008.9
,2020-12-22,15.5,25.5,7.8,,,S,43,16:49,17.7,90,5,S,2,1000.9,24.1,72,1,ENE,22,999.0
,2020-12-23,12.3,23.2,4.0,,,SSE,30,09:44,20.1,68,8,S,15,1013.7,21.5,59,8,SE,17,1015.6
,2020-12-24,16.8,23.5,2.2,,,S,35,17:42,19.0,92,8,SSW,6,1015.8,19.5,75,8,SE,20,1015.1
,2020-12-25,14.7,20.4,2.4,,,SSE,22,14:53,16.5,73,8,SW,13,1020.8,19.1,50,8,SE,15,1020.9
,2020-12-26,15.1,23.7,8.4,,,E,94,18:15,17.0,88,8,WNW,7,1020.3,22.9,68,8,NNE,28,1015.8
,2020-12-27,13.5,24.7,46.8,,,NE,37,14:21,20.9,76,,N,13,1012.4,24.1,74,,NE,24,1008.0
,2020-12-28,17.4,18.0,0.6,,,S,50,03:02,17.5,75,8,SSE,26,1009.2,16.2,72,7,SSW,17,1011.5
,2020-12-29,12.8,20.6,3.6,,,S,31,11:57,15.4,78,8,WSW,13,1015.9,19.2,66,8,SSE,17,1016.4
,2020-12-30,15.3,22.2,0,,,NE,28,14:03,20.1,68,8,N,2,1020.0,21.6,65,8,NE,20,1019.2
,2020-12-31,17.1,22.0,0,,,ENE,28,10:24,20.4,73,8,NNW,9,1020.9,21.3,66,7,ENE,17,1020.9
