Date,Min temp,Max temp,Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temp,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temp,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
2021-01-12,16.8,27.6,0.0,S,35.0,14:25,22.6,71,0.0,NE,9,1012.3,23.9,66,7.0,SSE,20,1013.3,0
2021-01-13,16.3,27.1,0.0,NNE,57.0,15:51,24.3,66,0.0,NNE,17,1015.9,26.4,64,0.0,NNE,33,1012.1,0
2021-01-14,19.6,25.8,0.0,S,63.0,10:25,24.5,71,0.0,NE,4,1007.7,21.2,73,8.0,SSE,26,1009.6,0
2021-01-15,15.0,24.6,0.0,SSE,59.0,19:30,21.1,59,4.0,NNW,4,1007.9,23.6,68,0.0,NE,20,1001.8,0
2021-01-16,10.0,26.3,8.2,W,39.0,08:09,17.8,35,0.0,W,13,1008.7,22.4,49,0.0,ENE,26,1006.9,1
2021-01-17,10.9,22.4,0.0,SE,31.0,09:48,19.0,54,0.0,S,13,1014.2,21.8,46,0.0,ESE,15,1014.1,0
2021-01-18,11.3,25.0,0.0,SE,28.0,19:49,19.9,60,0.0,SW,7,1014.8,24.2,56,0.0,E,17,1010.8,0
2021-01-19,17.2,24.0,0.0,SSE,43.0,09:02,20.3,46,0.0,S,22,1017.6,21.4,48,6.0,SE,26,1019.1,0
2021-01-20,14.0,22.9,0.0,SSW,26.0,23:19,18.9,49,0.0,SW,13,1024.6,22.2,47,0.0,ENE,17,1021.9,0
2021-01-21,13.9,25.6,0.0,NE,46.0,14:11,21.6,54,0.0,NNW,13,1018.9,25.0,55,0.0,NE,33,1013.5,0
2021-01-22,14.5,30.0,0.0,S,43.0,17:31,23.9,62,0.0,N,9,1008.3,27.7,63,7.0,NE,15,1004.7,0
2021-01-23,16.1,27.1,0.0,E,22.0,10:25,24.8,51,0.0,NE,4,1012.3,25.8,62,4.0,E,17,1011.6,0
