GLon,GLat,SpType,KMag,Lum
270.60323984,-27.28842916,K,-1.33,45.31
237.88550784,-19.63348067,F,2.65,2.43
154.77802788,19.46594221,K,-0.9108814270724035,0.5593427216537167
176.26780357,10.29656821,A,0.9620638540478903,11.216868403919602
175.21003593,10.81503695,G,1.121016042780749,0.6706459381101214
196.35515937,-0.12304154,K,-4.55,545.97
157.66770932,18.41108853,K,-0.9108814270724035,0.5593427216537167
185.0900778,5.85040925,B,-0.10143835616438357,5873.058784419242
187.59651002,4.54188335,F,1.19,7.87
230.70409868,-16.89119905,A,1.54,12.5
256.80183758,-25.01047613,G,3.1,1.33
216.45098761,-10.519554,A,0.75,20.67
255.16466581,-24.64319025,G,2.99,1.57
217.33628135,-10.9389743,K,-0.43,19.63
167.52939437,14.38494572,G,1.121016042780749,0.6706459381101214
239.16986615,-20.04576821,K,-0.9108814270724035,0.5593427216537167
191.762375,2.3665659,G,1.121016042780749,0.6706459381101214
253.99182349,-24.35414956,F,2.54,2.51
207.33855585,-5.89932389,K,4.43,0.15
249.68541992,-23.26359306,F,1.98,6.22
219.07779512,-11.74353227,G,2.61,2.04
182.44093606,7.25813299,F,1.44,9.86
171.12816775,12.78377295,G,-1.52,60.24
211.20389807,-7.87010005,A,0.41,54.21
219.2274454,-11.80149986,A,1.19,13.84
202.49957725,-3.34021951,B,0.82,54.64
243.84414906,-21.55556882,A,1.58,13.75
237.52198896,-19.43360996,B,-0.10143835616438357,1811.75
160.28722998,17.43787844,F,1.21,11.1
201.26650554,-2.67206435,A,0.9620638540478903,11.216868403919602
148.99214771,21.44886361,K,-0.9108814270724035,0.5593427216537167
210.53526642,-7.4985062,A,1.47,18.2
278.03847765,-27.88734965,F,2.34,3.92
133.52254593,25.43055413,F,2.52,3.07
149.1246915,21.4141401,G,3.63,0.79
172.18038093,12.32994519,F,1.7494433962264127,2.905781379148789
257.20724506,-25.03824841,K,-2.76,158.98
222.31391003,-13.1831463,B,2.25,11.24
245.03293524,-21.88002595,F,0.04,38.43
240.06871423,-20.27645872,F,2.24,3.67
210.6158298,-7.49880923,A,1.46,19.56
183.97441918,6.54206074,K,-0.9108814270724035,0.5593427216537167
167.11314132,14.64268347,A,0.9620638540478903,11.216868403919602
193.4151674,1.58550516,G,1.121016042780749,0.6706459381101214
224.13728833,-13.97521371,A,0.9620638540478903,11.216868403919602
231.26328169,-16.99282148,K,-2.23,96.63
186.72488161,5.12792512,K,-0.9108814270724035,0.5593427216537167
241.62613096,-20.77707498,B,-2.72,6445.98
187.09931633,4.93649263,B,-0.10143835616438357,5873.058784419242
193.42722946,1.59054992,K,-0.9108814270724035,0.5593427216537167
208.06042037,-6.15616086,K,-0.9108814270724035,0.5593427216537167
245.71565948,-22.05449043,K,0.96,6.04
218.3588178,-11.28489775,A,-0.22,73.31
254.62354547,-24.4205168,K,-3.18,155.36
243.15410272,-21.2540119,B,-0.10143835616438357,5873.058784419242
147.98079799,21.79909191,G,2.4,2.76
142.26925184,23.42438707,G,1.121016042780749,203.78
204.71135266,-4.38774679,F,2.04,6.35
195.50942278,0.50731767,A,0.9620638540478903,11.216868403919602
244.22663307,-21.58290444,G,1.121016042780749,0.6706459381101214
273.5243854,-27.50311054,K,-1.69,45.24
252.62682547,-23.92172671,G,3.17,1.38
231.92068873,-17.20701372,B,0.47,145.42
241.07497095,-20.55292536,K,-0.9108814270724035,0.5593427216537167
174.3595119,11.38065171,K,-0.9108814270724035,0.5593427216537167
204.31226911,-4.15163829,M,-0.004933333333333353,0.014875157245681071
264.35868825,-26.32434295,G,1.121016042780749,0.6706459381101214
204.31174779,-4.14356329,A,0.9620638540478903,11.216868403919602
162.34680671,16.69848351,A,2.1,7.08
129.36454188,26.20721251,F,2.58,2.45
213.55850978,-8.89457761,A,2.14,6.84
181.36115106,7.9546421,F,2.21,3.95
199.00019055,-1.31617291,B,-0.10143835616438357,5873.058784419242
290.6343528,-28.04300574,K,-0.67,19.48
224.96635328,-14.25250469,G,-1.34,47.24
245.05071097,-21.79702124,G,-0.36,21.4
271.76218083,-27.30664034,A,1.19,15.85
237.18441236,-19.16685937,F,1.35,13.89
267.31312899,-26.74892472,B,0.05,69.15
215.47283316,-9.80501871,B,-0.10143835616438357,5873.058784419242
209.22999831,-6.66115713,K,-0.9108814270724035,0.5593427216537167
188.20715563,4.4547399,G,1.01,10.4
289.89274343,-28.05777527,G,3.04,1.57
196.4152568,0.1032857,B,-0.10143835616438357,5873.058784419242
212.59251288,-8.36277843,F,2.21,4.72
182.62270835,7.35356708,F,1.7494433962264127,2.905781379148789
263.55292251,-26.15865397,G,2.45,2.66
225.89437224,-14.62689327,A,0.9620638540478903,11.216868403919602
207.15876981,-5.57284687,M,-0.004933333333333353,0.014875157245681071
177.15239554,10.09211265,K,-0.9108814270724035,0.5593427216537167
200.78388424,-2.21121986,B,-0.10143835616438357,5873.058784419242
183.41712067,6.95984545,F,2.37,4.12
146.87773318,22.16992299,K,4.79,0.19
220.17643887,-12.02835311,M,-4.72,0.014875157245681071
202.75672247,-3.24735513,A,0.73,36.35
249.25322136,-22.97550598,F,1.17,8.56
224.70105475,-14.07619712,A,1.6,16.54
242.65700535,-20.99261332,A,2.04,6.16
227.13040284,-15.12768077,G,1.121016042780749,0.6706459381101214
213.37553301,-8.70837419,B,1.96,18.4
162.77516982,16.58276273,K,-0.9108814270724035,0.5593427216537167
252.61531766,-23.84338499,B,-0.10143835616438357,5873.058784419242
183.27866896,7.06257452,A,1.11,27.82
277.63596755,-27.7823478,F,1.7494433962264127,2.905781379148789
190.76428147,3.17197705,B,0.29,123.26
234.08807418,-17.93993983,B,-0.10143835616438357,5873.058784419242
222.49687166,-13.05747567,F,1.7494433962264127,2.905781379148789
171.63740265,12.75939721,A,0.8,40.02
252.63807118,-23.82440914,A,0.9620638540478903,11.216868403919602
224.83814459,-14.08968108,B,-0.10143835616438357,5873.058784419242
169.06144078,13.93104932,M,-0.004933333333333353,0.014875157245681071
286.17079739,-28.07521439,F,1.48,6.76
210.57818823,-7.25227154,B,-0.10143835616438357,5873.058784419242
190.71865607,3.22984242,A,1.6,17.4
219.01958674,-11.40455399,K,-0.9108814270724035,0.5593427216537167
262.92638266,-26.0000538,F,2.47,3.28
220.1705241,-11.93835622,B,-0.10143835616438357,5873.058784419242
269.17349345,-26.94052931,A,0.01,47.2
240.60899375,-20.25529904,K,-0.9108814270724035,0.5593427216537167
207.47050468,-5.62734212,A,0.69,24.86
193.76317223,1.63119406,G,-1.5,67.69
203.73925799,-3.67185311,F,1.7494433962264127,2.905781379148789
194.18020527,1.41726147,K,3.92,0.41
152.29861915,20.50797908,K,-0.9108814270724035,49.73
180.7339201,8.42043014,A,0.9620638540478903,11.216868403919602
236.71922496,-18.86210397,F,2.27,3.42
143.21579843,23.2421564,A,1.98,7.36
229.98613633,-16.23228512,K,4.04,0.36
179.33087879,9.1358551,G,1.121016042780749,0.6706459381101214
162.03312847,16.9445443,M,-0.004933333333333353,0.014875157245681071
257.50254718,-24.91006612,F,2.11,4.56
191.90037809,2.66404344,G,1.121016042780749,0.6706459381101214
158.47518957,18.33468089,G,3.21,1.17
219.54576616,-11.58710746,A,2.25,4.79
226.14928279,-14.58792484,G,2.93,1.53
227.73237421,-15.2678769,G,1.121016042780749,0.6706459381101214
187.37125046,5.06122521,G,1.121016042780749,0.6706459381101214
257.73196525,-24.94801133,G,2.01,2.7
