GLon,GLat,SpType,KMag,Lum
324.67444271,27.28410243,F,2.0,4.66
341.9080979,52.11388439,A,1.1404497751124443,20.41348851887866
33.67592267,69.55595391,F,2.36,3.5
20.23555472,68.17590074,K,-0.68,23.79
330.0039642,37.27669915,K,-1.43,44.72
317.51959402,10.07552284,G,1.974612244897957,1.4238973350780344
6.28430467,65.15897434,F,1.9582152588555857,3.5485404851875266
314.63491049,2.32547304,G,1.974612244897957,168.81
315.79225769,5.45899848,B,0.20413934426229502,9287.639838468918
307.09354229,-17.58863113,M,-0.40753968253968254,0.010114063681378597
103.64876842,53.80117259,K,-1.13,41.96
53.66790792,69.54627372,K,-0.06920208152645274,38.46
338.50975229,48.70125664,F,1.9582152588555857,2.59
318.19782615,11.8298982,B,0.20413934426229502,9287.639838468918
309.36759114,-11.83426444,A,1.1404497751124443,20.41348851887866
349.79671984,57.99451812,K,-0.06920208152645274,0.3870904235387423
326.96204977,31.79193255,K,-0.06920208152645274,0.3870904235387423
69.45397551,67.80785545,F,1.9582152588555857,3.5485404851875266
338.15545777,48.28183404,B,0.20413934426229502,9287.639838468918
325.21220043,28.29342683,G,1.974612244897957,1.4238973350780344
315.69726103,5.16194387,B,-0.77,123.27
348.14812176,56.9055324,F,2.01,5.25
63.82164927,68.61428988,G,3.6,0.78
322.45122997,22.23661694,F,3.01,1.94
335.37749795,44.98551362,K,-1.26,38.58
344.98749951,54.59940574,A,1.11,26.97
107.71781695,50.06762458,K,-0.82,27.27
85.38850694,63.79249865,K,-0.06920208152645274,0.3870904235387423
344.05833691,53.83902933,M,-0.40753968253968254,0.010114063681378597
13.0516303,66.80547793,K,-0.06920208152645274,0.3870904235387423
7.72702955,65.50361286,F,1.25,12.18
331.59391355,39.67314903,F,1.9582152588555857,3.5485404851875266
321.4889507,19.93055728,K,-3.5,319.55
315.53239531,4.65636589,M,-0.40753968253968254,0.010114063681378597
96.92552097,58.45540023,M,-0.40753968253968254,0.010114063681378597
327.79125787,33.23964703,K,3.43,0.86
358.36865694,62.28669876,F,1.9582152588555857,3.5485404851875266
336.350525,46.09965585,K,-0.06920208152645274,0.3870904235387423
116.27994162,39.258645,G,1.974612244897957,1.4238973350780344
29.71607185,69.17282386,K,-0.04,12.46
70.65666943,67.53554606,F,1.9582152588555857,3.5485404851875266
12.34854745,66.59731521,F,1.9582152588555857,3.5485404851875266
350.68637304,58.39133201,K,-0.06920208152645274,0.3870904235387423
321.56572047,20.02264199,B,-0.81,1064.11
312.4850725,-3.65178072,F,1.9582152588555857,3.5485404851875266
337.72378663,47.64286401,F,1.9582152588555857,3.5485404851875266
318.86531969,13.3523796,B,2.21,13.28
355.03978513,60.71554049,G,1.974612244897957,1.4238973350780344
326.6007026,30.87100842,K,-1.68,48.74
324.8074715,27.24147073,F,1.9582152588555857,3.5485404851875266
311.24236784,-7.00203953,M,4.71,0.09
342.90268997,52.7396296,K,-0.06920208152645274,0.3870904235387423
33.14268542,69.39192801,F,2.42,3.78
314.01294453,0.45421246,A,1.1404497751124443,20.41348851887866
317.03732802,8.56847639,F,1.9582152588555857,3.5485404851875266
321.5089904,19.82525426,K,-0.06920208152645274,0.3870904235387423
339.92933701,49.93353663,K,-0.06920208152645274,0.3870904235387423
327.01862929,31.63333176,G,3.04,1.53
339.69528398,49.68475568,F,1.63,5.64
338.41113798,48.33300312,K,4.33,0.19
323.67068862,24.74207696,G,1.974612244897957,1.4238973350780344
347.1647415,56.01828029,G,3.47,0.9
318.62292953,12.63805164,G,1.974612244897957,1.4238973350780344
112.35461141,44.72964719,M,-0.40753968253968254,0.010114063681378597
1.73989921,63.46569881,F,1.9582152588555857,3.5485404851875266
311.87758536,-5.36885354,B,0.20413934426229502,9287.639838468918
15.71009987,67.20744771,G,3.42,0.9
317.42568176,9.49513802,K,-4.61,644.68
24.87075558,68.59891119,K,0.23,10.53
356.55841712,61.33259606,A,1.1404497751124443,47.46
327.59296852,32.60221547,F,1.9582152588555857,3.5485404851875266
316.71866007,7.61143387,K,-0.06920208152645274,0.3870904235387423
326.63780655,30.78225948,G,2.57,2.04
56.56551322,69.19280749,F,1.74,6.29
324.39055273,26.19582601,F,1.67,4.73
105.06011776,52.43743003,G,2.28,4.26
65.28866594,68.2850626,F,1.03,14.51
320.79895615,17.98432036,K,-0.06920208152645274,0.3870904235387423
335.81614056,45.20372004,K,-0.99,41.15
317.77266934,10.35039762,B,0.20413934426229502,9287.639838468918
66.1562317,68.1555233,F,1.91,6.12
315.48421897,4.2880173,G,1.85,3.19
63.71628712,68.47469946,G,3.0,1.36
353.67646202,59.87889046,G,1.974612244897957,1.4238973350780344
325.74387296,28.94523218,F,1.9582152588555857,3.5485404851875266
71.29146315,67.30782883,G,1.56,5.76
320.37611132,16.8997446,G,1.974612244897957,1.4238973350780344
311.8915853,-5.38875225,A,0.65,44.31
80.21356628,65.25233845,K,-1.6,54.89
353.68563833,59.86253406,A,1.09,17.56
90.62317309,61.5407432,K,-0.06920208152645274,0.3870904235387423
319.96548463,15.83949716,F,1.35,6.99
309.707237,-11.16075114,G,2.85,1.5
107.98528956,49.61999233,K,-0.06920208152645274,0.3870904235387423
53.23039091,69.3479052,K,3.34,0.87
108.51674203,49.07080035,G,3.59,0.83
322.52259229,21.90537122,F,2.27,3.5
74.69916059,66.58645232,F,1.24,8.38
335.03003492,44.06535777,A,0.33,38.25
314.15810574,0.63203477,K,-0.06920208152645274,0.3870904235387423
105.5242288,51.95937451,F,2.63,2.46
122.02445349,28.9886683,G,0.33,12.49
314.88967222,2.56946341,B,0.20413934426229502,9287.639838468918
319.35947139,14.24083228,A,1.29,14.32
316.63925682,7.21937821,K,-1.61,67.42
346.96934604,55.65370676,F,1.9582152588555857,3.5485404851875266
335.08702962,44.08597569,F,0.8,13.03
98.89118514,57.02442579,F,1.06,16.5
310.97443795,-7.8957858,F,1.58,5.35
311.13602581,-7.47159674,F,1.9582152588555857,3.5485404851875266
78.63473641,65.61808812,K,-0.06920208152645274,0.3870904235387423
326.59164792,30.4402554,M,-0.40753968253968254,0.010114063681378597
347.92939644,56.30684958,G,3.64,0.68
38.6624886,69.47595849,M,-0.40753968253968254,0.010114063681378597
17.02013024,67.30577562,F,1.9582152588555857,3.5485404851875266
115.22280475,40.71921804,K,-0.06920208152645274,0.3870904235387423
325.9016841,29.03728178,A,1.05,20.38
317.61414236,9.71661973,G,1.974612244897957,1.4238973350780344
91.25067773,61.18361325,K,-0.06920208152645274,0.3870904235387423
46.36910514,69.5205849,K,-0.06920208152645274,0.3870904235387423
333.08467339,41.28980442,A,0.45,43.34
323.3715181,23.67554888,G,1.974612244897957,1.4238973350780344
356.13850196,60.93610888,G,1.974612244897957,1.4238973350780344
330.91334847,37.99003227,K,0.65,7.64
353.04081642,59.3619009,G,-1.36,50.26
356.47909263,61.07897359,A,0.07,67.87
39.07547816,69.45198129,K,-0.06920208152645274,0.3870904235387423
1.30670317,63.05702687,G,3.31,2.23
90.70542398,61.39645315,F,1.77,7.32
309.27477899,-12.35843924,K,-0.34,15.15
320.64890421,17.2783176,K,-0.06920208152645274,0.3870904235387423
75.03344491,66.42374119,F,1.37,8.3
22.20229419,68.07239059,G,1.974612244897957,1.4238973350780344
321.09452971,18.34293125,A,0.58,26.52
86.21147921,63.20608809,F,2.65,2.41
44.06160558,69.49796942,G,3.28,1.02
340.92630454,50.47219512,K,-0.06920208152645274,0.3870904235387423
322.03695241,20.54943782,G,1.974612244897957,1.4238973350780344
345.08412949,54.08649405,F,1.9582152588555857,3.5485404851875266
319.08656719,13.37494783,F,1.9582152588555857,3.5485404851875266
10.89922058,65.93682653,A,1.1404497751124443,20.41348851887866
353.1000059,59.32951968,A,1.33,18.28
34.27766414,69.21280191,M,-8.3,37.6
316.96317971,7.90350503,A,1.88,10.38
78.44676285,65.58370787,G,-0.74,29.08
0.81810066,62.83109166,K,-0.06920208152645274,0.3870904235387423
324.45436058,25.87689974,G,-1.83,79.0
317.14520068,8.36079425,K,-0.06920208152645274,0.3870904235387423
324.09333894,25.10124313,A,1.1404497751124443,20.41348851887866
91.74517523,60.88325443,G,1.93,3.38
76.48577931,66.05771175,G,1.38,8.88
322.15534805,20.75190861,G,3.32,0.86
22.95685473,68.13299376,K,-0.06920208152645274,0.3870904235387423
99.45836305,56.54576052,F,2.71,2.25
7.73155528,65.07824572,F,1.9582152588555857,3.5485404851875266
356.34456969,60.91691624,K,-1.67,60.44
331.25555637,38.34720041,G,3.01,1.28
69.04698872,67.52195752,G,1.89,4.17
305.93787665,-20.52519996,B,-1.12,236.95
327.37915262,31.66346018,A,1.1404497751124443,20.41348851887866
81.83660106,64.60379879,K,-0.06920208152645274,0.3870904235387423
106.68709057,50.75027108,G,1.974612244897957,1.4238973350780344
327.67897498,32.21544225,F,1.9582152588555857,5.39
313.83707096,-0.46177728,B,0.20413934426229502,9287.639838468918
0.3752757,62.59624761,G,2.88,1.29
348.37967462,56.37869838,K,-0.06920208152645274,0.3870904235387423
103.80875631,53.28132538,K,3.79,0.36
318.23391518,11.08115542,F,2.13,3.5
87.42327661,62.67782555,M,-0.40753968253968254,0.010114063681378597
107.22961808,50.21179019,A,2.13,5.3
12.21788496,66.16939206,G,1.974612244897957,1.4238973350780344
31.65855259,68.97621259,K,-0.06920208152645274,0.3870904235387423
335.64622049,44.46187541,M,-0.40753968253968254,0.010114063681378597
339.95237196,49.33873969,K,-0.06920208152645274,0.3870904235387423
334.07029398,42.38431808,F,2.52,2.58
90.24428643,61.5048309,G,2.9,1.78
313.83951134,-0.50503459,B,0.20413934426229502,9287.639838468918
332.04442483,39.45041675,K,-0.06920208152645274,0.3870904235387423
336.60242787,45.59801953,A,1.1404497751124443,20.41348851887866
343.90673687,52.95327278,M,-3.81,0.010114063681378597
334.55662617,42.99715793,K,-1.56,52.7
318.93166157,12.77874729,A,2.13,11.0
328.14854326,32.94993329,G,2.75,1.94
334.15397304,42.43857624,A,1.83,8.24
58.71902057,68.75408665,K,-0.06920208152645274,0.3870904235387423
87.86784914,62.46456972,F,1.9582152588555857,3.5485404851875266
87.87593945,62.46057709,F,1.66,6.09
313.79014337,-0.67609513,B,0.20413934426229502,9287.639838468918
83.18948508,64.12378211,G,2.32,2.64
349.1384086,56.79767919,M,-0.40753968253968254,0.010114063681378597
320.01563126,15.44575216,K,-1.93,84.92
336.22532144,45.08976358,F,0.68,17.26
100.17475022,55.97440122,K,0.91,6.06
314.75510097,1.86044851,A,1.1404497751124443,20.41348851887866
321.39652851,18.74775533,B,1.02,52.64
34.25322776,69.08167097,A,1.1404497751124443,20.41348851887866
346.11626842,54.63903984,K,-0.06920208152645274,0.3870904235387423
339.66918157,48.9298715,K,-0.06920208152645274,0.3870904235387423
313.04821355,-2.68281124,G,3.07,1.48
308.96403173,-13.26776061,A,1.1404497751124443,20.41348851887866
3.820915,63.73454654,G,1.974612244897957,1.4238973350780344
312.41956013,-4.3462416,K,-0.06920208152645274,0.3870904235387423
342.38535198,51.5505537,F,1.9582152588555857,3.5485404851875266
3.74920758,63.70693882,G,1.974612244897957,1.4238973350780344
319.69681196,14.60741886,B,0.78,39.59
352.21162454,58.6142864,K,-0.06920208152645274,0.3870904235387423
55.08455679,68.99680292,G,3.07,1.42
22.82446944,67.98590084,K,-2.65,117.03
328.45127642,33.39688832,K,-2.51,168.96
75.38763992,66.19353147,G,3.54,0.76
326.45417785,29.64956393,G,1.974612244897957,1.4238973350780344
332.50506569,39.99586521,K,4.78,0.08
108.1648786,49.20536437,G,2.84,1.62
106.24923479,51.05751368,F,1.45,8.44
357.77462466,61.35389322,M,6.83,0.010114063681378597
101.2602213,55.15082224,A,1.1404497751124443,20.41348851887866
316.30567313,5.86798186,B,0.20413934426229502,9287.639838468918
