GLon,GLat,SpType,KMag,Lum
118.53768271,7.16285274,B,0.85,41.15
91.29760507,-65.5631771,F,1.9116605392156885,2.1308778054892983
323.7941752,-66.22808377,G,-2.54,189.4
115.33478531,-8.9608018,K,-0.033235294117647106,0.582456178411574
334.59473999,-72.008119,F,1.21,9.62
91.29341472,-65.60682604,K,-0.033235294117647106,0.582456178411574
59.46583429,-76.84878262,G,1.775935085007729,0.644020118353425
96.81827641,-60.37375018,G,2.74,2.0
2.54855097,-77.75618977,G,3.86,0.67
82.64478366,-70.79584776,F,1.61,6.29
104.87050716,-47.1282672,K,-0.033235294117647106,0.14
56.81507754,-77.21535688,F,1.9116605392156885,2.1308778054892983
319.56751143,-62.67783451,F,1.9116605392156885,2.1308778054892983
107.07332135,-41.5802756,G,-0.07,14.65
324.97572621,-67.13071591,F,1.9116605392156885,2.1308778054892983
335.3444664,-72.33719722,M,-4.16,330.46
309.81061935,-48.08190405,F,1.81,5.05
6.29443926,-78.10605244,F,2.96,1.5
118.82170568,8.45830064,F,-0.85,50.18
114.72990981,-12.09034119,G,-2.22,150.23
321.97589993,-64.8977639,M,-4.64,0.06896794895596911
309.0682542,-46.40155048,K,-0.033235294117647106,0.582456178411574
101.47172369,-53.9816605,F,0.11,31.21
112.54410222,-22.24939383,K,3.21,0.89
111.29521841,-27.45660632,K,4.89,0.08
71.71631587,-74.59403211,K,4.7,0.1
114.55648006,-13.04692697,A,1.1430317460317458,18.940752635329417
110.4198418,-30.91935783,G,1.14,8.25
312.40550271,-53.27675874,A,-0.08,55.58
358.09842677,-77.35761095,F,2.15,4.7
308.0856846,-44.01939536,G,1.775935085007729,0.644020118353425
86.94433357,-68.74073425,F,3.36,1.12
113.677911,-17.29823256,K,-1.53,57.75
328.2825398,-69.25097505,K,-0.033235294117647106,0.582456178411574
109.82572907,-33.17607643,K,-2.61,136.36
306.53144024,-39.7125787,K,-2.34,86.72
119.1026917,9.7363818,K,-1.52,53.11
116.97123697,-1.07103753,A,1.1430317460317458,18.940752635329417
340.13064871,-73.98420335,F,1.9116605392156885,2.1308778054892983
105.28227036,-46.52565579,G,-1.58,57.84
119.37949882,11.08444235,K,1.77,10.46
100.76783996,-55.34248257,F,1.95,4.48
11.861537,-78.5487961,K,-0.033235294117647106,0.582456178411574
117.1311557,-0.29189557,A,2.13,7.15
354.66234809,-76.95822878,F,1.9116605392156885,2.1308778054892983
338.1170503,-73.40112341,F,-1.25,84.52
96.2029204,-61.4034449,A,1.1430317460317458,18.940752635329417
96.95724175,-60.55663915,G,3.68,0.8
108.66046659,-37.23675586,K,-2.07,104.31
113.2176244,-19.56506633,B,-1.53,489.21
73.03229391,-74.35945607,K,-0.78,25.13
118.19561453,5.09299767,O,-1.0,31879.725493750575
309.85632553,-48.35076587,F,2.55,2.61
111.88369073,-25.45451707,K,-0.033235294117647106,0.582456178411574
117.967745,3.91369819,K,1.87,4.06
107.81597025,-39.94878193,K,4.51,0.18
119.90483117,13.59632022,K,-0.033235294117647106,0.582456178411574
94.59308876,-63.13638157,B,-0.28,317.35
36.96603797,-78.82158395,A,1.1430317460317458,18.940752635329417
107.68617723,-40.37335532,K,-0.033235294117647106,0.582456178411574
105.73281519,-45.6829144,F,-0.23,31.02
109.23231271,-35.54528198,K,5.48,0.07
345.80880906,-75.47154889,K,-0.96,28.84
334.76773771,-72.31698033,F,1.25,11.69
24.84833398,-78.99524875,F,1.9116605392156885,2.1308778054892983
104.55820448,-48.44295235,F,1.63,6.77
91.58239718,-65.82762618,M,-5.99,0.06896794895596911
114.08216831,-15.75073437,A,1.1430317460317458,18.940752635329417
117.42188404,1.01635233,B,-0.030170454545454518,16034.635778185937
92.48945657,-65.1217007,G,0.2,12.81
343.78900293,-75.03845182,K,-1.22,40.68
94.94495215,-62.92233076,A,2.23,5.44
309.33339542,-47.24041007,B,-0.030170454545454518,16034.635778185937
111.30137805,-28.05791053,K,-0.033235294117647106,0.582456178411574
109.58532167,-34.47000102,G,1.775935085007729,0.644020118353425
11.78505853,-78.63279573,A,2.13,9.39
116.78103832,-2.34090582,G,1.775935085007729,0.644020118353425
53.44086898,-77.81531793,A,1.1430317460317458,18.940752635329417
316.2887313,-59.31518818,G,2.21,2.95
112.59476449,-22.69639359,B,1.65,16.26
309.7368354,-48.19147468,K,4.97,0.09
59.37442671,-77.1325031,F,1.9116605392156885,2.1308778054892983
109.60395839,-34.50871783,G,3.64,0.67
118.21365114,4.98963057,O,-1.0,31879.725493750575
114.38965382,-14.47617657,A,1.1430317460317458,18.940752635329417
116.80208723,-2.31918191,G,1.775935085007729,0.644020118353425
114.83146497,-12.32476151,K,-0.99,38.61
113.74544947,-17.56366475,K,-0.033235294117647106,0.582456178411574
83.26949293,-70.94374276,A,1.1430317460317458,18.940752635329417
30.08452321,-79.06526215,F,1.9116605392156885,6.41
80.56391085,-72.10498832,G,1.55,6.48
87.73872936,-68.61907998,K,-0.033235294117647106,0.582456178411574
116.95292892,-1.59680615,M,-5.91,0.06896794895596911
115.40299126,-9.5658797,K,-0.033235294117647106,0.582456178411574
16.55070821,-78.90289503,B,-0.56,495.64
103.97417817,-50.05019302,K,3.99,0.43
103.87304337,-50.26116365,F,2.67,2.01
103.01037474,-52.00809264,A,0.4,36.65
91.77268942,-65.91945329,F,2.35,3.42
101.62670596,-54.49791269,F,2.39,2.97
