GLon,GLat,SpType,KMag,Lum
298.17881878,10.4243572,G,1.9688657407407404,0.9220180217632238
297.593651,15.10035348,A,0.33,32.85
282.12999548,68.20266738,K,0.16294788273615657,0.35008141393883635
291.67242155,48.63786978,K,-1.12,42.32
266.5456306,77.65088349,K,0.8,6.48
298.53284641,7.58954434,G,1.9688657407407404,0.9220180217632238
283.78378849,66.27161344,K,0.16294788273615657,0.35008141393883635
133.03695454,63.20944207,G,1.9688657407407404,0.9220180217632238
164.65705533,80.51515674,F,1.928732581287327,3.0915174240919137
294.99605022,33.21897894,K,0.16294788273615657,0.35008141393883635
300.31258767,-7.23473569,A,1.1738054607508535,19.745822568587595
139.16654965,70.64328385,G,-1.1,37.24
228.32333002,82.86505332,K,1.75,3.14
151.37270432,77.37641285,G,1.9688657407407404,0.9220180217632238
300.65944413,-10.07767075,F,2.09,3.77
222.92990896,83.06042186,K,0.16294788273615657,0.35008141393883635
126.36617027,45.48585677,K,0.16294788273615657,0.35008141393883635
296.99725943,19.96001537,A,-0.65,126.16
291.16358695,50.70248618,A,4.09,1.28
291.16539469,50.69899487,A,1.1738054607508535,19.745822568587595
299.83542269,-3.14624497,F,1.85,6.74
296.42517052,24.1862387,F,2.75,2.28
144.39707789,74.35947206,K,-1.78,65.72
297.32813578,17.53888056,K,0.16294788273615657,0.35008141393883635
178.83140542,82.1907673,F,2.23,3.45
298.77426515,5.85329434,B,-0.07344827586206899,2670.683214184348
161.69141281,80.04530003,K,-1.69,63.43
297.71980472,14.51014994,F,2.29,4.66
298.84047447,5.32753081,B,-0.07344827586206899,2670.683214184348
283.19399273,67.19663155,F,2.35,3.64
290.60899216,52.59805781,K,-1.7,67.76
284.50383809,65.49322543,F,2.28,3.95
297.39164385,17.15981203,F,1.928732581287327,3.0915174240919137
297.99390634,12.38779505,F,3.89,0.69
295.28114735,31.86747933,K,1.99,2.23
294.63753017,35.65296329,K,0.16294788273615657,0.35008141393883635
137.87562953,69.58621127,G,1.9688657407407404,0.9220180217632238
131.05908203,59.67171823,K,0.16294788273615657,0.35008141393883635
173.43972252,81.74463314,F,1.928732581287327,3.0915174240919137
298.52829774,8.11271246,A,1.12,14.89
137.92451248,69.65268033,F,1.928732581287327,3.0915174240919137
299.44133046,0.38604343,G,1.9688657407407404,0.9220180217632238
299.2235188,2.25365514,K,-3.93,350.82
301.576891,-17.26899944,A,1.43,12.85
297.83419704,13.87532548,F,1.928732581287327,3.0915174240919137
298.11275936,11.6206005,F,1.928732581287327,3.0915174240919137
285.24375825,64.56379003,G,1.43,4.89
164.12314718,80.54085409,K,4.98,0.18
228.81593441,82.93680701,K,1.86,8.02
297.66883549,15.2960437,K,0.16294788273615657,0.35008141393883635
129.11111635,55.01942826,G,3.55,0.83
129.21013861,55.29283783,F,2.76,1.98
134.85413766,66.19823742,F,1.928732581287327,3.0915174240919137
154.36170074,78.45473361,F,1.928732581287327,3.0915174240919137
281.37987248,69.42770749,G,2.47,2.28
295.32978828,31.94435827,M,-0.17390728476821204,0.03672286153838989
232.52103875,82.78266108,F,2.59,2.84
297.30280802,18.27634697,K,0.16294788273615657,0.35008141393883635
128.67264749,53.81932772,G,1.9688657407407404,0.9220180217632238
290.70093654,52.76116353,G,1.8,3.76
300.26093193,-6.39353204,G,1.9688657407407404,0.9220180217632238
297.72782448,15.05170732,K,0.16294788273615657,0.35008141393883635
287.00855474,61.78879498,K,-0.9,29.96
294.83254181,35.12975727,F,1.61,6.21
251.97360052,81.05771991,G,1.9688657407407404,0.9220180217632238
294.04682702,39.46936956,K,-2.55,101.37
298.22944432,11.06574735,K,0.16294788273615657,0.35008141393883635
147.79553614,76.26350844,G,4.37,0.29
301.51921359,-16.67635698,A,1.34,24.18
299.40137174,1.12942536,F,2.47,2.76
138.86999011,70.73416472,K,0.16294788273615657,0.35008141393883635
249.23205558,81.44642368,F,0.52,16.91
298.04971336,12.64139985,K,-3.73,314.25
296.06171745,27.69611659,K,0.16294788273615657,0.35008141393883635
216.26049182,83.36816048,G,2.98,1.51
298.02277514,12.9224521,G,1.9688657407407404,0.9220180217632238
145.26519671,75.1092171,G,1.9688657407407404,0.9220180217632238
298.58694567,8.22154812,A,1.1738054607508535,19.745822568587595
302.23861178,-22.17830877,G,0.81,7.17
289.03865771,57.68515596,K,0.16294788273615657,0.35008141393883635
293.17440468,43.91069767,F,1.928732581287327,3.0915174240919137
202.35973942,83.37356831,G,1.9688657407407404,0.9220180217632238
131.65101649,61.21274781,G,1.9688657407407404,0.9220180217632238
298.93252014,5.33395924,F,2.24,4.61
142.94136717,73.82604381,M,4.96,0.08
209.66229942,83.43973012,F,2.38,3.41
137.10476682,69.12592283,K,-0.96,37.82
298.90921202,5.59236208,F,2.23,4.7
272.24952987,75.92785351,F,2.54,2.6
298.83391386,6.26261474,K,0.16294788273615657,0.35008141393883635
299.06901713,4.23484689,B,-0.07344827586206899,2670.683214184348
296.97387009,21.47193371,K,4.09,0.3
167.98883621,81.28628815,K,-1.45,49.08
298.81201884,6.54251624,F,1.928732581287327,3.0915174240919137
268.18772705,77.58590106,A,1.55,19.75
162.66787981,80.48082168,G,3.21,1.2
290.63345733,53.61136478,K,0.16294788273615657,0.35008141393883635
129.04477153,55.18694117,G,-1.41,48.51
295.70271691,30.51331049,G,2.99,1.61
298.26944507,11.21989808,A,1.1738054607508535,19.745822568587595
129.7639153,57.13090729,F,1.928732581287327,3.0915174240919137
300.12659499,-4.81015514,A,1.1738054607508535,73.79
282.03916524,69.24438581,K,0.16294788273615657,0.35008141393883635
296.24571099,26.97916528,G,-2.58,160.97
298.33184301,10.78690392,G,1.9688657407407404,0.9220180217632238
277.66822917,72.98734759,K,4.18,0.25
263.81504816,78.94884555,G,3.13,1.25
231.00016246,83.0161255,A,1.1,36.46
135.12483775,66.95095057,F,1.928732581287327,3.0915174240919137
300.22361165,-5.58932766,K,-1.99,63.65
302.02697041,-20.499573,F,2.21,4.18
125.83901699,43.71486033,G,2.92,1.15
296.67746077,24.06547359,G,-1.12,37.37
284.29941336,66.66501124,M,-5.05,81.4
300.82821082,-10.75125696,A,0.76,28.6
300.11288158,-4.55859119,F,1.46,7.35
135.89464747,67.95781204,K,3.97,0.27
285.37865492,65.17119567,F,2.77,2.22
292.66823306,46.73505685,K,-3.03,186.81
299.92959203,-2.90642854,B,-0.07344827586206899,2670.683214184348
129.03170012,55.31058389,G,1.9688657407407404,0.9220180217632238
288.59864619,59.28355624,F,2.34,3.18
299.94065756,-2.98818893,B,-0.07344827586206899,2670.683214184348
228.00790734,83.18896652,M,5.24,0.05
124.0549834,34.40750804,F,1.928732581287327,3.0915174240919137
279.81448476,71.49782716,K,0.16294788273615657,0.35008141393883635
170.11068507,81.6545099,K,4.25,0.27
246.66383778,81.93174547,F,2.55,2.86
298.28074754,11.58327592,F,2.87,2.17
294.51779883,38.16102813,K,-2.13,82.46
144.62783676,75.05919618,B,-0.07344827586206899,2670.683214184348
222.5040732,83.40142965,F,-1.64,95.08
284.13438665,67.12156975,K,0.16294788273615657,0.35008141393883635
284.14367711,67.11707795,F,2.78,2.07
255.98949064,80.7287034,F,1.928732581287327,3.0915174240919137
269.59648888,77.31961618,G,3.53,0.76
135.84267934,68.04487717,A,1.1738054607508535,19.745822568587595
207.02494186,83.57383495,M,4.72,0.1
215.79394893,83.54428298,K,0.16294788273615657,0.35008141393883635
298.28176998,11.80817674,A,1.1738054607508535,19.745822568587595
298.11267654,13.27568117,A,2.16,8.31
299.57959332,0.46800096,B,-0.07344827586206899,2670.683214184348
296.0753602,28.9270526,F,1.928732581287327,3.0915174240919137
297.27233343,20.18926836,G,1.9688657407407404,0.9220180217632238
211.24339205,83.59675392,K,0.16294788273615657,0.35008141393883635
131.22259917,60.82773946,F,0.95,13.62
283.77425628,67.71086539,G,3.36,1.1
177.91916652,82.49712101,G,-0.68,24.84
258.11358614,80.41202122,K,0.16294788273615657,0.35008141393883635
295.20177813,34.67826799,K,0.16294788273615657,0.35008141393883635
296.87939228,23.35698199,G,3.19,1.25
297.54297325,18.1906092,G,1.9688657407407404,0.9220180217632238
292.2220669,49.15904287,G,1.9688657407407404,0.9220180217632238
180.87538925,82.73512146,K,0.16294788273615657,0.35008141393883635
298.48433866,10.33105519,G,-1.43,52.17
244.62286214,82.24189914,G,1.9688657407407404,0.9220180217632238
300.22393135,-5.09304414,B,0.82,31.41
126.86924641,48.3840853,A,1.26,16.95
287.66462106,61.77073475,F,2.19,3.1
299.09959269,4.98258232,B,0.41,130.05
140.17066039,72.34956186,G,1.9688657407407404,0.9220180217632238
129.41576379,56.66191548,K,0.16294788273615657,0.35008141393883635
297.71468339,16.92284496,A,1.57,12.45
147.2528107,76.471327,K,0.16294788273615657,0.35008141393883635
134.46040645,66.43751052,M,-0.17390728476821204,0.03672286153838989
296.19284615,28.50280423,K,0.16294788273615657,0.35008141393883635
298.24338489,12.54436727,F,1.928732581287327,3.0915174240919137
278.18513788,73.09185668,G,1.9688657407407404,0.9220180217632238
292.66527628,47.63949798,F,1.55,7.59
290.05422026,56.37740866,A,2.23,6.11
298.52164671,10.23754263,K,0.16294788273615657,0.35008141393883635
298.25524804,12.60063455,G,2.99,1.38
270.27427093,77.27383952,K,0.16294788273615657,0.35008141393883635
126.40991757,46.61216842,K,0.16294788273615657,0.35008141393883635
299.90159545,-2.02601807,K,-1.05,34.82
190.15043132,83.29394212,F,1.928732581287327,3.0915174240919137
294.79034554,37.55049786,K,-1.56,54.01
298.64271899,9.25274365,F,1.928732581287327,3.0915174240919137
128.0733589,52.81369824,M,5.81,0.03672286153838989
290.02231315,56.57133573,G,2.84,1.83
181.96946839,82.88290854,F,2.72,2.04
135.23289045,67.59038236,K,0.16294788273615657,0.35008141393883635
288.12874741,61.1180093,F,2.19,3.83
276.85785564,74.10394307,K,0.16294788273615657,0.35008141393883635
262.27194112,79.70174144,K,0.16294788273615657,0.35008141393883635
297.19870278,21.5109568,G,1.9688657407407404,0.9220180217632238
222.7394657,83.5418178,F,2.85,1.83
290.67476288,54.89821902,K,-2.71,188.63
298.55872671,10.21102339,K,-1.16,37.15
289.84137917,57.23984696,G,3.17,1.25
288.62941086,60.17039439,F,3.06,1.29
141.33803502,73.38428415,G,3.07,1.63
167.61943641,81.56826211,F,1.928732581287327,3.0915174240919137
141.08679137,73.2199749,F,2.69,2.6
296.76147552,25.04385774,F,0.33,27.32
275.47793175,75.00978087,A,1.1738054607508535,19.745822568587595
132.38774287,63.41894251,F,1.928732581287327,3.0915174240919137
300.24617716,-4.90752694,G,0.67,7.75
289.9014524,57.18259878,K,-1.63,55.74
275.56247377,74.97613353,F,1.44,9.82
291.49263388,52.47387906,K,-2.45,115.85
