GLon,GLat,SpType,KMag,Lum
209.27601515,-40.46105331,K,-2.54,143.82
153.0209504,-0.08896633,A,-0.59,121.21
173.00358545,-19.37235754,F,0.48,17.92
165.74206033,-12.7968763,A,1.57,9.86
192.90126009,-33.34958753,G,2.21,3.32
261.66226978,-44.13688431,F,2.3,3.86
216.86836795,-42.620735,M,-7.61,2665.74
167.6594845,-14.58704152,B,-0.0030980392156862873,15888.055428400297
240.9329189,-45.66760919,G,2.49,2.85
195.58695471,-34.75051236,A,1.12211122554068,12.308955634252454
240.82982152,-45.66444623,G,1.420986842105263,0.8042052741151069
156.95566653,-4.0914509,B,-0.0030980392156862873,15888.055428400297
214.97709883,-42.12754716,K,-0.5444366899302091,0.11697205127210333
178.44911833,-23.79029632,K,3.73,0.47
164.68902568,-11.76528118,F,1.92,4.75
174.96081631,-20.98823288,K,4.23,0.2
161.9984691,-9.13635132,A,1.12211122554068,12.308955634252454
177.3514552,-22.91711542,K,3.65,0.38
173.99560397,-20.17012978,F,1.24,13.39
223.20002935,-43.92730919,G,3.22,1.34
184.16685524,-27.92876483,A,0.04,51.5
168.96484046,-15.73471031,K,-0.5444366899302091,0.11697205127210333
171.3303166,-17.85084444,A,1.12211122554068,12.308955634252454
238.55299366,-45.56689559,G,1.420986842105263,0.8042052741151069
204.39531523,-38.64535297,K,4.24,0.25
163.15719571,-10.23513472,G,3.48,0.82
153.35247518,-0.36755478,M,-0.7242748091603055,0.008991756014631954
157.65479143,-4.75002596,A,0.89,22.14
168.71008203,-15.48286079,K,-0.5444366899302091,0.11697205127210333
181.47655279,-25.99601675,G,1.420986842105263,0.8042052741151069
188.35705192,-30.61503775,K,-0.5444366899302091,0.11697205127210333
151.84523571,1.18073339,G,1.420986842105263,0.8042052741151069
268.94982212,-42.59748199,K,-0.5444366899302091,0.11697205127210333
190.73934618,-32.03476758,G,-1.29,50.42
151.18504136,1.86232654,K,-0.5444366899302091,0.11697205127210333
187.64384955,-30.15861933,F,2.16,4.46
145.89187285,7.22193079,B,-0.0030980392156862873,15888.055428400297
219.84085936,-43.21368965,A,0.76,24.45
255.71103033,-44.91233732,K,-0.5444366899302091,0.11697205127210333
150.81580207,2.25851695,G,1.420986842105263,0.8042052741151069
261.58524917,-44.08603125,F,0.61,16.45
290.58365918,-34.58598512,K,-0.5444366899302091,0.11697205127210333
188.57407003,-30.6998481,F,1.894276315789478,4.430487873032809
